Assembly,Filename,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50.x,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75,Source Host,Source Context,Uberstrain,Name,Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Bases.Average.Length.Status.,Sequencing Platform(s),Barcode,Source Details,Collection.Year,Collection.Month,Collection.Day,Continent,Country,Region,District,City,Latitude,Longitude,Serovar,Subspecies,Antigenic.Formulas,Lab.Contact,Bio.Project.ID,Project.ID,Sample.ID,Secondary.Sample.ID,Date.Entered,Release.Date,Status,Coverage,N50.y,Length,Species,Contig.Number...200.bp.,Low.Quality.Bases,Version
SAL_JA4842AA_AS,SAL_JA4842AA_AS.scaffold,256,220,179,137,79,21,5010601,4991940,4877342,4566966,3523357,1545943,238,172402,5004841,4809037,52.32,52.09,35382,36161,22882,23782,44,42,89,83,52,38,1688785,113,1,0,7,39 + 85 part,789007,87.276,1.004,6.85,1305.67,25.09,89860,4203488,25869,26324,9843,13616,64,60,135,122,Bovine,Animal,SAL_DA5789AA,IEH-NGS-SAL-00786,SRR1511509;ILLUMINA;Paired;500;SRX649207;169534596;231,ILLUMINA;;,SAL_DA5789AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849899,SRS657297,2015-08-27,2014-07-10,Assembled,34,35382,5010601,Salmonella enterica;100.0%,253,50706,2.2
SAL_JA4843AA_AS,SAL_JA4843AA_AS.scaffold,95,66,47,42,37,29,4988822,4975709,4935848,4900274,4808072,4527068,77,682250,4983043,4809037,52.12,52.09,172545,196629,88172,91075,8,7,18,17,75,26,4131488,126,0,0,5,17 + 43 part,746500,87.901,1.002,6.14,1309.04,26.47,127791,4234205,57213,57348,24652,29998,30,29,61,56,Bovine,Animal,SAL_DA5809AA,CFSAN018623,SRR1511488;ILLUMINA;Paired;500;SRX649186;516816300;231,ILLUMINA;;,SAL_DA5809AA,bovine (intestine),2007,1,NA,North America,United States,Idaho,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849891,SRS656404,2015-08-27,2014-07-10,Assembled,104,172545,4988822,Salmonella enterica;100.0%,90,5887,2.2
SAL_JA4848AA_AS,SAL_JA4848AA_AS.scaffold,90,54,40,35,32,25,4989195,4972605,4947366,4915837,4854930,4626084,68,682266,4982289,4809037,52.11,52.09,204653,204653,109053,114837,7,7,15,14,84,26,4553260,127,0,0,4,19 + 36 part,749826,87.847,1.002,24.05,1308.46,26.51,127791,4230339,56517,57948,24652,26568,30,28,62,57,Bovine,Animal,SAL_DA5949AA,IEH-NGS-SAL-00602,SRR1501673;ILLUMINA;Paired;500;SRX641660;659055124;211,ILLUMINA;;,SAL_DA5949AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849715,SRS650605,2015-08-27,2014-06-30,Assembled,133,204653,4989195,Salmonella enterica;100.0%,86,3265,2.2
SAL_JA4849AA_AS,SAL_JA4849AA_AS.scaffold,96,54,39,34,31,24,4987272,4967593,4940336,4908800,4847897,4620263,69,682266,4978360,4809037,52.11,52.09,225812,225812,113551,114808,6,6,14,13,74,20,4237972,129,0,0,4,20 + 36 part,748966,87.808,1.002,24.51,1307.69,26.26,128939,4227097,57214,58646,26252,30708,29,27,59,55,Bovine,Animal,SAL_DA5960AA,CFSAN018469,SRR1501662;ILLUMINA;Paired;500;SRX641649;536620320;180,ILLUMINA;;,SAL_DA5960AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849737,SRS650594,2015-08-27,2014-06-30,Assembled,108,225812,4987272,Salmonella enterica;100.0%,94,3037,2.2
SAL_JA4851AA_AS,SAL_JA4851AA_AS.scaffold,94,50,38,33,30,24,4993838,4977968,4956868,4923764,4871280,4672275,62,711632,4986167,4809037,52.11,52.09,223068,225812,114710,141745,7,6,14,13,85,24,4608202,131,0,0,3,16 + 29 part,750856,87.889,1.002,0,1308.57,26.38,128939,4234377,57213,58646,25827,30581,29,27,60,55,Swine,Animal,SAL_DA5981AA,MDH-2014-00357,SRR1501641;ILLUMINA;Paired;500;SRX641628;386000542;241,ILLUMINA;;,SAL_DA5981AA,porcine liver,2002,12,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02699523,SRS650573,2015-08-27,2014-06-30,Assembled,78,223068,4993838,Salmonella enterica;92.19%,80,6021,2.2
SAL_JA4852AA_AS,SAL_JA4852AA_AS.scaffold,101,67,54,45,37,31,5165873,5151476,5121285,5057386,4914627,4698342,77,383636,5158323,4809037,52.17,52.09,217240,217240,90999,108188,9,9,20,17,78,27,4238033,128,0,0,3,23 + 41 part,913363,88.088,1.002,8.22,1309.47,26.56,148073,4243257,48295,52908,17856,26579,33,29,71,59,Bovine,Animal,SAL_DA5986AA,CFSAN018467,SRR1501636;ILLUMINA;Paired;500;SRX641623;211569552;222,ILLUMINA;;,SAL_DA5986AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849735,SRS650568,2015-08-27,2014-06-30,Assembled,41,217240,5165873,Salmonella enterica;90.25%,97,11350,2.2
SAL_JA4853AA_AS,SAL_JA4853AA_AS.scaffold,102,61,48,41,37,28,4991046,4971673,4949176,4905292,4820203,4514607,77,682266,4982979,4809037,52.11,52.09,172546,172546,97105,99780,8,8,18,17,80,28,4297305,126,0,0,4,19 + 39 part,749913,87.818,1.002,19.08,1309.33,26.43,127791,4230113,51897,56517,21660,26261,31,29,65,59,Bovine,Animal,SAL_DA6004AA,IEH-NGS-SAL-00607,SRR1501618;ILLUMINA;Paired;500;SRX641605;281899640;236,ILLUMINA;;,SAL_DA6004AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849720,SRS650550,2015-08-27,2014-06-30,Assembled,57,172546,4991046,Salmonella enterica;100.0%,97,9758,2.2
SAL_JA4855AA_AS,SAL_JA4855AA_AS.scaffold,89,58,45,37,29,25,5026668,5011651,4986023,4928708,4788513,4646639,72,659692,5022078,4809037,52.17,52.09,260878,260878,110977,113506,6,6,14,13,78,23,4376470,128,0,0,4,13 + 38 part,769409,88.205,1.003,7.37,1310.6,26.88,196293,4250747,54524,57947,21658,26648,29,27,62,56,Bovine,Animal,SAL_DA6013AA,IEH-NGS-SAL-00621,SRR1501491;ILLUMINA;Paired;500;SRX641532;493187652;222,ILLUMINA;;,SAL_DA6013AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849734,SRS650478,2015-08-27,2014-06-30,Assembled,99,260878,5026668,Salmonella enterica;92.31%,82,4132,2.2
SAL_JA4856AA_AS,SAL_JA4856AA_AS.scaffold,74,51,41,34,27,23,5020310,5009805,4987243,4939316,4830888,4688629,61,659722,5016577,4809037,52.17,52.09,278919,299149,115572,130769,6,5,12,11,81,21,4416793,130,0,0,3,14 + 34 part,768289,88.146,1.002,7.28,1310.23,26.56,148077,4246299,52908,57211,24653,28727,30,28,62,56,Bovine,Animal,SAL_DA6014AA,CFSAN018457,SRR1501490;ILLUMINA;Paired;500;SRX641531;431120670;227,ILLUMINA;;,SAL_DA6014AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849725,SRS650477,2015-08-27,2014-06-30,Assembled,86,278919,5020310,Salmonella enterica;92.3%,70,4240,2.2
SAL_JA4858AA_AS,SAL_JA4858AA_AS.scaffold,78,48,38,31,26,22,5021895,5008789,4983913,4932915,4833834,4691795,60,659680,5017208,4809037,52.17,52.09,376789,376789,130769,149897,5,5,11,10,81,20,4421628,129,0,0,3,12 + 35 part,768556,88.155,1.002,6.6,1309.36,26.54,196293,4247942,54524,57947,24653,29924,29,27,61,55,Bovine,Animal,SAL_DA6027AA,CFSAN018453,SRR1501477;ILLUMINA;Paired;500;SRX641518;463124856;222,ILLUMINA;;,SAL_DA6027AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849721,SRS650464,2015-08-27,2014-06-30,Assembled,93,376789,5021895,Salmonella enterica;89.56%,71,3924,2.2
SAL_JA4859AA_AS,SAL_JA4859AA_AS.scaffold,120,89,73,62,51,36,5016422,5002016,4964839,4883877,4693753,4161581,102,363286,5011588,4809037,52.18,52.09,105379,106615,66676,72277,14,13,29,27,72,31,3457374,126,0,0,4,18 + 56 part,761116,88.117,1.003,7.78,1308.37,26.5,148036,4246171,46228,46569,17856,24653,36,34,75,67,Bovine,Animal,SAL_DA6031AA,CFSAN018541,SRR1501473;ILLUMINA;Paired;500;SRX641514;217773676;214,ILLUMINA;;,SAL_DA6031AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849809,SRS650460,2015-08-27,2014-06-30,Assembled,44,105379,5016422,Salmonella enterica;95.19%,112,16598,2.2
SAL_JA4860AA_AS,SAL_JA4860AA_AS.scaffold,99,58,41,38,35,28,4989524,4970347,4933006,4912636,4851732,4624893,74,682268,4981389,4809037,52.11,52.09,180556,180556,94089,99653,7,7,17,16,73,22,4082028,129,0,0,4,19 + 38 part,748745,87.858,1.002,25.27,1308.67,26.32,127791,4229676,56517,57948,24652,26568,30,28,62,57,Bovine,Animal,SAL_DA6033AA,CFSAN018500,SRR1501471;ILLUMINA;Paired;500;SRX641512;812298084;218,ILLUMINA;;,SAL_DA6033AA,,2007,1,NA,North America,United States,Idaho,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849768,SRS650458,2015-08-27,2014-06-30,Assembled,163,180556,4989524,Salmonella enterica;100.0%,96,4462,2.2
SAL_JA4861AA_AS,SAL_JA4861AA_AS.scaffold,77,47,29,27,26,21,4792650,4778712,4745806,4733813,4723504,4560650,61,785572,4788642,4809037,52.1,52.09,282624,282624,163804,163804,6,6,12,12,79,20,4332556,133,0,0,2,12 + 27 part,578798,87.356,1.002,0,1518.37,29.3,156507,4206912,57920,57920,27760,26686,26,26,54,55,Bovine,Animal,SAL_DA6036AA,CFSAN018489,SRR1501467;ILLUMINA;Paired;500;SRX641509;674515800;201,ILLUMINA;;,SAL_DA6036AA,,2007,1,NA,North America,United States,Idaho,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02849757,SRS650455,2015-08-27,2014-06-30,Assembled,141,282624,4792650,Salmonella enterica;98.46%,71,2451,2.2
SAL_JA4863AA_AS,SAL_JA4863AA_AS.scaffold,108,66,49,39,33,26,5095863,5078276,5042861,4976283,4876387,4650298,81,711632,5088614,4809037,52.11,52.09,223068,223068,99787,141451,7,7,15,13,84,26,4520519,131,0,0,4,22 + 39 part,850783,87.951,1.002,0,1307.55,26.27,128755,4236785,52909,57948,18880,26911,31,28,65,56,Swine,Animal,SAL_DA6190AA,MDH-2014-00327,SRR1448878;ILLUMINA;Paired;500;SRX620820;444789114;231,ILLUMINA;;,SAL_DA6190AA,porcine liver,2002,10,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02699493,SRS645225,2015-08-27,2014-06-23,Assembled,88,223068,5095863,Salmonella enterica;93.04%,98,5576,2.2
SAL_JA4864AA_AS,SAL_JA4864AA_AS.scaffold,88,58,46,40,31,24,5004647,4992437,4970697,4926652,4783801,4547856,67,602778,4998334,4809037,52.07,52.09,213943,213943,112952,141747,7,7,14,13,81,24,4401373,127,0,0,4,16 + 35 part,767792,87.844,1.001,0,1306.82,26.39,128939,4229797,56871,57213,21903,26911,29,28,61,56,Swine,Animal,SAL_DA6265AA,NY-swgs1178,SRR1425300;ILLUMINA;Paired;500;SRX610859;599563392;228,ILLUMINA;;,SAL_DA6265AA,pig colon,2011,5,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA183850,SRP028607,SAMN02595892,SRS641854,2015-08-27,2014-06-18,Assembled,119.8,213943,5004647,Salmonella enterica;97.05%,86,2222,2.2
SAL_JA4865AA_AS,SAL_JA4865AA_AS.scaffold,94,58,43,37,29,24,5039933,5022838,4986246,4943977,4791503,4617701,73,659731,5033938,4809037,52.16,52.09,251177,251177,109050,130769,6,6,14,12,79,22,4349760,127,0,0,3,16 + 37 part,782983,88.14,1.003,6.44,1310.17,26.66,196296,4249366,54204,57211,19447,28744,29,27,62,55,Bovine,Animal,SAL_DA6280AA,MDH-2014-00313,SRR1425276;ILLUMINA;Paired;500;SRX610836;355734416;232,ILLUMINA;;,SAL_DA6280AA,feces; bos taurus,2002,10,NA,North America,United States,Minnesota,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA215333,SRP032981,SAMN02699479,SRS641833,2015-08-27,2014-06-18,Assembled,71,251177,5039933,Salmonella enterica;91.56%,85,5346,2.2
SAL_JA4866AA_AS,SAL_JA4866AA_AS.scaffold,92,60,48,43,34,27,5113091,5100047,5072476,5039922,4887589,4606503,70,540659,5106666,4809037,52.12,52.09,271001,271001,87622,110629,7,7,17,14,78,24,4284746,131,0,0,3,15 + 40 part,859704,88.106,1.002,8.09,1309.02,26.39,148062,4244709,49534,54524,18875,26911,32,29,67,58,Bovine,Animal,SAL_DA6358AA,CFSAN013380,SRR1411146;ILLUMINA;Paired;500;SRX604211;455719792;184,ILLUMINA;;,SAL_DA6358AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782462,SRS638954,2015-08-27,2014-06-16,Assembled,90,271001,5113091,Salmonella enterica;91.25%,87,3492,2.2
SAL_JA4872AA_AS,SAL_JA4872AA_AS.scaffold,92,58,44,39,35,27,4993086,4976302,4949246,4917752,4846820,4588811,72,602771,4986315,4809037,52.11,52.09,180514,196629,99805,109066,8,7,17,15,83,28,4542575,127,0,0,4,20 + 36 part,753363,87.855,1.002,5.13,1308.83,26.3,127791,4230783,56517,57948,21903,26568,30,28,63,57,Bovine,Animal,SAL_DA6762AA,CFSAN013265,SRR1333888;ILLUMINA;Paired;500;SRX569443;686790496;226,ILLUMINA;;,SAL_DA6762AA,feces,2006,11,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782347,SRS627264,2015-08-27,2014-06-04,Assembled,138,180514,4993086,Salmonella enterica;98.71%,89,3706,2.2
SAL_JA4873AA_AS,SAL_JA4873AA_AS.scaffold,83,57,43,37,33,26,4991061,4979039,4953118,4913222,4842274,4612920,67,682260,4986025,4809037,52.11,52.09,196629,196629,99615,109197,7,7,16,15,78,23,4302024,126,0,0,4,14 + 35 part,750383,87.911,1.002,5.44,1310.98,26.63,127791,4233256,56517,57948,21903,26495,30,28,63,58,Bovine,Animal,SAL_DA6763AA,CFSAN013277,SRR1333887;ILLUMINA;Paired;500;SRX569442;330251610;235,ILLUMINA;;,SAL_DA6763AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782359,SRS627263,2015-08-27,2014-06-04,Assembled,67,196629,4991061,Salmonella enterica;100.0%,78,5908,2.2
SAL_JA4874AA_AS,SAL_JA4874AA_AS.scaffold,89,63,47,39,32,29,5050114,5037947,4995866,4940576,4809262,4719102,73,478407,5045180,4809037,52.16,52.09,212223,212223,99921,102690,8,8,17,15,80,24,4181402,128,0,0,3,18 + 39 part,792047,88.221,1.002,8.52,1311.67,26.52,148077,4251548,52908,56824,18788,26648,30,28,65,57,Bovine,Animal,SAL_DA6766AA,CFSAN013287,SRR1333884;ILLUMINA;Paired;500;SRX569439;190180836;229,ILLUMINA;;,SAL_DA6766AA,,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782369,SRS627260,2015-08-27,2014-06-04,Assembled,38,212223,5050114,Salmonella enterica;90.27%,84,11036,2.2
SAL_JA4875AA_AS,SAL_JA4875AA_AS.scaffold,101,59,46,39,35,28,4991276,4972008,4949384,4903807,4833162,4605334,75,682267,4983296,4809037,52.11,52.09,180514,196629,98881,99796,8,7,17,16,84,28,4464672,126,0,0,4,20 + 37 part,749392,87.861,1.002,24.72,1309.58,26.44,127791,4230977,52909,56860,21903,26261,31,29,64,59,Bovine,Animal,SAL_DA6767AA,CFSAN013274,SRR1333883;ILLUMINA;Paired;500;SRX569438;481636016;212,ILLUMINA;;,SAL_DA6767AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782356,SRS627259,2015-08-27,2014-06-04,Assembled,97,180514,4991276,Salmonella enterica;100.0%,95,5019,2.2
SAL_JA4876AA_AS,SAL_JA4876AA_AS.scaffold,102,56,41,36,32,25,4993536,4972101,4944339,4912810,4827458,4599154,74,601914,4984808,4809037,52.11,52.09,204653,225955,105103,107994,7,6,15,14,81,25,4349574,131,0,0,4,19 + 36 part,748771,87.876,1.002,24.21,1309.01,26.24,128883,4233253,57214,58646,24652,28733,29,27,60,55,Bovine,Animal,SAL_DA6768AA,CFSAN013271,SRR1333882;ILLUMINA;Paired;500;SRX569437;655679178;189,ILLUMINA;;,SAL_DA6768AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782353,SRS627258,2015-08-27,2014-06-04,Assembled,132,204653,4993536,Salmonella enterica;100.0%,95,3538,2.2
SAL_JA4878AA_AS,SAL_JA4878AA_AS.scaffold,109,60,46,40,37,32,4991060,4972772,4944230,4900283,4839378,4668205,71,602041,4980545,4809037,52.11,52.09,180514,180514,88000,88286,8,8,19,18,74,25,4099781,128,0,0,5,16 + 40 part,747657,87.872,1.002,6,1309.58,26.81,127790,4230428,52909,56858,21662,26261,31,29,64,59,Bovine,Animal,SAL_DA6776AA,CFSAN013276,SRR1333874;ILLUMINA;Paired;500;SRX569429;215375344;232,ILLUMINA;;,SAL_DA6776AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782358,SRS627250,2015-08-27,2014-06-04,Assembled,44,180514,4991060,Salmonella enterica;100.0%,97,11166,2.2
SAL_JA4883AA_AS,SAL_JA4883AA_AS.scaffold,126,85,56,49,41,31,5320865,5301895,5220907,5169637,5023546,4720524,104,608303,5314641,4809037,51.9,52.09,181668,223286,84809,96891,9,8,20,16,75,26,4048267,128,0,0,4,34 + 47 part,1061128,88.207,1.003,7.92,1308.94,26.31,141271,4250640,48833,57211,14887,25610,33,28,79,59,Bovine,Animal,SAL_DA6803AA,CFSAN012693,SRR1302863;ILLUMINA;Paired;500;SRX555561;229482140;185,ILLUMINA;;,SAL_DA6803AA,bovine (necropsy),2007,1,NA,North America,United States,Idaho,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02742126,SRS622657,2015-08-27,2014-06-02,Assembled,44,181668,5320865,Salmonella enterica;88.78%,120,8957,2.2
SAL_JA4886AA_AS,SAL_JA4886AA_AS.scaffold,104,71,45,40,33,28,5058638,5043220,4983304,4950395,4831843,4657737,83,746471,5052116,4809037,52.11,52.09,204653,204653,91211,99788,8,8,17,15,77,23,4181759,128,0,0,5,28 + 40 part,817885,87.904,1.002,5.23,1309.65,26.47,141265,4232933,57085,57948,21660,31154,30,28,62,55,Bovine,Animal,SAL_DA6829AA,IEH-NGS-SAL00423,SRR1302807;ILLUMINA;Paired;500;SRX555501;399044208;227,ILLUMINA;;,SAL_DA6829AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02742121,SRS622603,2015-08-27,2014-06-02,Assembled,79,204653,5058638,Salmonella enterica;91.03%,100,5651,2.2
SAL_JA4887AA_AS,SAL_JA4887AA_AS.scaffold,108,66,51,44,36,30,5306980,5290569,5259090,5212877,5070694,4830906,79,714583,5299062,4809037,51.76,52.09,178215,185970,93150,108793,8,7,19,15,78,24,4089060,126,0,0,1,19 + 43 part,1051782,88.121,1.002,6.98,1303.61,26.29,196296,4245264,49031,57430,15318,26261,33,28,76,57,Bovine,Animal,SAL_DA6831AA,IEH-NGS-SAL00424,SRR1302805;ILLUMINA;Paired;500;SRX555499;455840896;224,ILLUMINA;;,SAL_DA6831AA,feces,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02742122,SRS622604,2015-08-27,2014-06-02,Assembled,86,178215,5306980,Salmonella enterica;85.55%,98,5230,2.2
SAL_JA4888AA_AS,SAL_JA4888AA_AS.scaffold,132,98,78,68,55,35,5082565,5066122,5019910,4942231,4708938,4007671,113,449489,5076979,4809037,52.03,52.09,98313,99907,57158,61156,15,14,32,28,67,31,3283296,122,0,0,1,24 + 53 part,827127,88.085,1.003,7.58,1304.52,26.42,196296,4244282,45742,47757,17856,21660,35,32,79,69,Bovine,Animal,SAL_DA6832AA,IEH-NGS-SAL-00436,SRR1302804;ILLUMINA;Paired;500;SRX555498;363013860;227,ILLUMINA;;,SAL_DA6832AA,,2006,11,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782320,SRS622601,2015-08-27,2014-06-02,Assembled,72,98313,5082565,Salmonella enterica;91.37%,128,13121,2.2
SAL_JA4890AA_AS,SAL_JA4890AA_AS.scaffold,137,102,82,73,56,39,5099918,5083463,5043488,4976686,4653338,4002583,116,322818,5093255,4809037,52.18,52.09,94142,100209,54194,58994,19,17,36,32,73,37,3219455,123,0,0,3,21 + 59 part,857633,87.867,1.002,6.13,1309.05,26.41,146349,4231935,44992,47875,15392,18653,38,35,86,74,Bovine,Animal,SAL_DA6837AA,CFSAN012685,SRR1302799;ILLUMINA;Paired;500;SRX555493;170260266;201,ILLUMINA;;,SAL_DA6837AA,bovine (necropsy),2007,1,NA,North America,United States,Montana,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02742118,SRS622596,2015-08-27,2014-06-02,Assembled,34,94142,5099918,Salmonella enterica;100.0%,131,20197,2.2
SAL_JA4891AA_AS,SAL_JA4891AA_AS.scaffold,162,104,88,77,59,41,5005922,4984648,4953442,4869559,4555243,3914058,121,239949,4996568,4809037,52.15,52.09,83472,88026,54170,55343,19,18,38,36,72,35,3057045,130,1,1,3,20 + 56 part,741214,88.073,1.005,5.42,1313.9,26.28,127791,4249515,44821,46035,16235,18696,37,35,84,76,Bovine,Animal,SAL_DA6885AA,CFSAN012682,SRR1300725;ILLUMINA;Paired;500;SRX554514;211043804;214,ILLUMINA;;,SAL_DA6885AA,culture medium,2007,1,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02742115,SRS621788,2015-08-27,2014-06-01,Assembled,43,83472,5005922,Salmonella enterica;99.26%,141,22124,2.2
SAL_JA4893AA_AS,SAL_JA4893AA_AS.scaffold,110,77,55,47,38,29,5027975,5009984,4963383,4902274,4742249,4397845,96,329463,5023814,4809037,52.09,52.09,178215,178215,91019,107489,11,11,21,19,76,26,3965313,127,0,0,1,23 + 44 part,769874,88.167,1.003,6.25,1303.27,26.51,148069,4251536,48833,52909,19448,26410,31,28,66,59,Bovine,Animal,SAL_DA6942AA,CFSAN013255,SRR1300665;ILLUMINA;Paired;500;SRX554457;895161380;230,ILLUMINA;;,SAL_DA6942AA,feces,2006,11,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782337,SRS621731,2015-08-27,2014-06-01,Assembled,179,178215,5027975,Salmonella enterica;88.54%,105,4453,2.2
SAL_JA4894AA_AS,SAL_JA4894AA_AS.scaffold,77,48,39,32,26,22,4984623,4969949,4948810,4899708,4799770,4655799,63,600715,4980587,4809037,52.15,52.09,278034,278034,149812,153390,6,6,12,11,76,20,4372956,129,0,0,3,17 + 30 part,714460,88.566,1.002,6.89,1320.58,26.81,148076,4265476,58646,68036,24653,30708,27,26,57,52,Bovine,Animal,SAL_DA6966AA,CFSAN013253,SRR1300636;ILLUMINA;Paired;500;SRX554433;917560352;158,ILLUMINA;;,SAL_DA6966AA,feces,2006,11,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782335,SRS621707,2015-08-27,2014-06-01,Assembled,185,278034,4984623,Salmonella enterica;93.93%,74,1731,2.2
SAL_JA4895AA_AS,SAL_JA4895AA_AS.scaffold,81,48,39,31,26,21,4978322,4961123,4940926,4886920,4796881,4639350,66,600715,4973874,4809037,52.14,52.09,278020,278020,149977,153219,6,6,12,11,76,19,4371663,126,0,0,3,17 + 31 part,705671,88.562,1.002,7.32,1321.84,27.03,148069,4267163,58588,68036,24653,30316,27,26,57,52,Bovine,Animal,SAL_DA6972AA,CFSAN013254,SRR1300630;ILLUMINA;Paired;500;SRX554427;609732652;229,ILLUMINA;;,SAL_DA6972AA,feces,2006,11,NA,North America,United States,Washington,,,,,Typhimurium,I,,Food and Drug Administration - Center for Food Safety and Applied Nutrition (US),PRJNA186035,SRP018785,SAMN02782336,SRS621700,2015-08-27,2014-06-01,Assembled,123,278020,4978322,Salmonella enterica;94.31%,78,2929,2.2
